,real,predict
370,,63.313919963246185
371,,64.09548135723311
372,,62.29398342682116
373,,61.197492552023334
374,,62.26379685525973
375,,64.61690826859882
376,,66.19959257820146
377,,65.34576344840731
378,,61.54381838061811
379,,55.18066669585997
380,,46.96824360228283
381,,37.73109984971637
382,,28.509366346194753
383,,20.44141038442335
384,,14.212246647036498
385,,9.581649567121936
386,,5.712442904700026
387,,2.3071541209485247
388,,0.5785779975119496
389,,2.9139905065757503
390,,11.121369788779312
391,,24.531574926916598
392,,39.639312991463754
393,,51.86336581266757
394,,58.25870564375005
395,,59.15434537412809
396,,57.514227903547464
397,,56.624571586116076
398,,57.9408338842422
399,,60.58424382255685
400,,62.494367600460365
401,,62.00154290683445
402,,58.59025939001912
403,,52.64323480208859
404,,44.86798028099141
405,,36.08444362975412
406,,27.328029306111958
407,,19.732311077098206
408,,13.977499817925182
409,,9.818612331185804
410,,6.413816354963124
411,,3.4611386662323227
412,,2.1690800763993394
413,,4.92087770335376
414,,13.517915187637314
415,,27.290509050403934
416,,42.730345100048545
417,,55.25359202112861
418,,61.91304288060211
419,,63.03598556226144
420,,61.58510650305894
421,,60.84584450741777
422,,62.273356707918225
423,,64.98904727700005
424,,66.93312333410489
425,,66.4370137536398
426,,62.98672856001544
427,,56.96690873609495
428,,49.0873602745725
429,,40.17066176878444
430,,31.255144730213864
431,,23.477563134095238
432,,17.52151524197917
433,,13.14556418539484
434,,9.511533125243048
435,,6.321162537901799
436,,4.786674099071476
437,,7.294982211119056
438,,15.653910111786185
439,,29.194361366283744
440,,44.41127734779751
441,,56.72385235290824
442,,63.18763567334884
443,,64.13236653256678
444,,62.522846711100655
445,,61.64626803298775
446,,62.959157106349146
447,,65.58388819314467
448,,67.46122883720638
449,,66.92275408056072
450,,63.45420699891228
451,,57.43955534958255
452,,49.58753806311202
453,,40.71929069049858
454,,31.87134875039662
455,,24.17834516535153
456,,18.3214644503023
457,,14.056599701712592
458,,10.542687720587196
459,,7.478409274308511
460,,6.072798397117481
461,,8.709501168365946
462,,17.193040272865012
463,,30.85103549852746
464,,46.175210120848526
465,,58.581654162960234
466,,65.12297321420894
467,,66.12616807961336
468,,64.55354948739966
469,,63.69010445425948
470,,64.99047617946616
471,,67.57550785313627
472,,69.38481459063635
473,,68.74921895049451
474,,65.15412746667366
475,,58.983597752399774
476,,50.946889745721215
477,,41.86609011817245
478,,32.77910878082085
479,,24.822363727587316
480,,18.679217025676426
481,,14.108108209559038
482,,10.270860677620757
483,,6.869348461323263
484,,5.116067663393409
485,,7.398353474955684
486,,15.524599594189805
487,,28.82643076764404
488,,43.79965900430467
489,,55.86449508206668
490,,62.07764469836927
491,,62.77013518602287
492,,60.90817772043796
493,,59.78048227792858
494,,60.845187883840175
495,,63.22635917959825
496,,64.86651413647336
497,,64.0977520351064
498,,60.408894257017096
499,,54.18571878377573
500,,46.1387515500114
501,,37.09086946724291
502,,28.08028127453958
503,,20.24320267922404
504,,14.262288761971206
505,,9.894769983175209
506,,6.300767392210588
507,,3.1799743391362085
508,,1.7422488328726686
509,,4.371857237162764
510,,12.873725820558398
511,,26.575650524077375
512,,41.96929506042527
513,,54.47044848181922
514,,61.13117100570466
515,,62.27767345998455
516,,60.871234614541514
517,,60.19557301275855
518,,61.70383515399485
519,,64.51515035271558
520,,66.56721639724718
521,,66.18875133487713
522,,62.86288866711526
523,,56.97126531291584
524,,49.22059570295487
525,,40.43032078095889
526,,31.635630580032085
527,,23.970176330113894
528,,18.11453460897159
529,,13.82436946813522
530,,10.258767818081335
531,,7.116935109487656
532,,5.608795272013175
533,,8.119235497589944
534,,16.454352364437664
535,,29.943649709379905
536,,45.08101850395305
537,,57.284970075199965
538,,63.610751747569445
539,,64.38819061939188
540,,62.58257016700355
541,,61.48195677027636
542,,62.54413855160733
543,,64.89312744275111
544,,66.47168923062371
545,,65.6137375788022
546,,61.80766998897239
547,,55.44039578219414
548,,47.22385016690295
549,,37.98258389212328
550,,28.756727866579457
551,,20.68464938297641
552,,14.451363123617547
553,,9.81664352169151
554,,5.9433143372419295
555,,2.5339030317560045
556,,0.8012043860844216
557,,3.1324943733340476
558,,11.335751132894195
559,,24.741833749762108
560,,39.84544929231771
561,,52.06537959148647
562,,58.45659690036571
563,,59.348114108865204
564,,57.70387411655783
565,,56.81009527694873
566,,58.12223505316638
567,,60.76152246954272
568,,62.66752372546096
569,,62.17057650971124
570,,58.75517047095521
571,,52.804023361260434
572,,45.02464631791767
573,,36.23698714474275
574,,27.476450299180648
575,,19.876609548232643
576,,14.117675766823144
577,,9.954665758336134
578,,6.545747260096192
579,,3.5889431780148158
580,,2.2927581948776776
581,,5.0404294286562035
582,,13.636196127591063
583,,27.407519204790866
584,,42.846084469359866
585,,55.368060605037854
586,,62.0262406790906
587,,63.147912575205154
588,,61.695762731059546
589,,60.955229949872084
590,,62.38147136509191
591,,65.09589114864616
592,,67.03869642060474
593,,66.54131605467622
594,,63.0897600757249
595,,57.068669466690736
596,,49.187850219549205
597,,40.269880928456274
598,,31.353093104598543
599,,23.57424072317853
600,,17.61692204548116
601,,13.23970020375986
602,,9.604398358207785
603,,6.412756985491512
604,,4.876997761332717
605,,7.384035088215818
